eFG_pct,Team_eFG_pct,2019_eFG_pct,Last_3_eFG_pct,Last_1_eFG_pct,Home_eFG_pct,Away_eFG_pct,2018_eFG_pct,2019_Turnover_rate,Last_3_Turnover_rate,Last_1_Turnover_rate,Home_Turnover_rate,Away_Turnover_rate,2018_Turnover_rate,2019_Offensive_Rebound_Rate,Last_3_Offensive_Rebound_Rate,Last_1_Offensive_Rebound_Rate,Home_Offensive_Rebound_Rate,Away_Offensive_Rebound_Rate,2018_Offensive_Rebound_Rate,2019_Free_Throw_Pct,Last_3_Free_Throw_Pct,Last_1_Free_Throw_Pct,Home_Free_Throw_Pct,Away_Free_Throw_Pct,2018_Free_Throw_Pct,,,
351,Charl South, 0.39 , 0.45 , 0.41 , 0.41 , 0.37 , 0.50 , 0.21 , 0.19 , 0.26 , 0.23 , 0.21 , 0.18 , 0.26 , 0.27 , 0.32 , 0.27 , 0.25 , 0.27 , 0.69 , 0.76 , 0.80 , 0.77 , 0.64 , 0.69 ,,,
55,Charlotte, 0.53 , 0.63 , 0.63 , 0.56 , 0.51 , 0.48 , 0.20 , 0.21 , 0.16 , 0.21 , 0.20 , 0.22 , 0.22 , 0.23 , 0.10 , 0.26 , 0.17 , 0.19 , 0.75 , 0.67 , 0.73 , 0.72 , 0.78 , 0.74 ,,,
196,Chattanooga, 0.49 , 0.54 , 0.53 , 0.52 , 0.48 , 0.52 , 0.19 , 0.17 , 0.11 , 0.18 , 0.19 , 0.19 , 0.24 , 0.21 , 0.18 , 0.32 , 0.22 , 0.22 , 0.64 , 0.67 , 0.63 , 0.58 , 0.67 , 0.68 ,,,
247,Chicago St, 0.47 , 0.53 , 0.53 , 0.54 , 0.46 , 0.44 , 0.27 , 0.26 , 0.24 , 0.20 , 0.28 , 0.22 , 0.18 , 0.19 , 0.23 , 0.20 , 0.18 , 0.19 , 0.73 , 0.88 , 0.88 , 0.71 , 0.73 , 0.69 ,,,
144,Cincinnati, 0.50 , 0.48 , 0.45 , 0.55 , 0.46 , 0.49 , 0.21 , 0.18 , 0.23 , 0.18 , 0.23 , 0.16 , 0.30 , 0.28 , 0.33 , 0.30 , 0.30 , 0.36 , 0.66 , 0.72 , 0.63 , 0.71 , 0.63 , 0.70 ,,,
83,Citadel, 0.52 , 0.48 , 0.56 , 0.55 , 0.50 , 0.52 , 0.20 , 0.15 , 0.12 , 0.19 , 0.21 , 0.17 , 0.22 , 0.23 , 0.15 , 0.20 , 0.23 , 0.23 , 0.69 , 0.76 , 0.67 , 0.63 , 0.76 , 0.74 ,,,
84,Clemson, 0.52 , 0.47 , 0.48 , 0.54 , 0.47 , 0.51 , 0.17 , 0.19 , 0.15 , 0.15 , 0.19 , 0.19 , 0.24 , 0.17 , 0.19 , 0.28 , 0.17 , 0.26 , 0.69 , 0.76 , 0.71 , 0.63 , 0.76 , 0.73 ,,,
345,Cleveland St, 0.40 , 0.46 , 0.47 , 0.41 , 0.40 , 0.52 , 0.24 , 0.21 , 0.26 , 0.18 , 0.27 , 0.18 , 0.26 , 0.27 , 0.26 , 0.26 , 0.27 , 0.24 , 0.71 , 0.67 , 0.60 , 0.73 , 0.70 , 0.68 ,,,
69,Coastal Car, 0.53 , 0.53 , 0.61 , 0.49 , 0.60 , 0.52 , 0.21 , 0.23 , 0.24 , 0.17 , 0.26 , 0.19 , 0.33 , 0.27 , 0.29 , 0.33 , 0.32 , 0.32 , 0.70 , 0.74 , 0.77 , 0.69 , 0.71 , 0.72 ,,,
195,Col Charlestn, 0.49 , 0.47 , 0.42 , 0.47 , 0.49 , 0.54 , 0.19 , 0.21 , 0.16 , 0.19 , 0.19 , 0.15 , 0.25 , 0.26 , 0.31 , 0.24 , 0.25 , 0.24 , 0.75 , 0.72 , 0.60 , 0.82 , 0.68 , 0.76 ,,,
74,Colgate, 0.53 , 0.60 , 0.57 , 0.53 , 0.52 , 0.56 , 0.18 , 0.16 , 0.15 , 0.15 , 0.18 , 0.19 , 0.25 , 0.22 , 0.23 , 0.22 , 0.26 , 0.29 , 0.82 , 0.82 , 0.79 , 0.83 , 0.82 , 0.74 ,,,
272,Colorado, 0.46 , 0.43 , 0.36 , 0.48 , 0.44 , 0.51 , 0.21 , 0.25 , 0.23 , 0.21 , 0.21 , 0.19 , 0.30 , 0.32 , 0.33 , 0.30 , 0.31 , 0.28 , 0.70 , 0.71 , 0.71 , 0.70 , 0.69 , 0.75 ,,,
66,Colorado St, 0.53 , 0.52 , 0.47 , 0.54 , 0.52 , 0.54 , 0.19 , 0.15 , 0.15 , 0.16 , 0.22 , 0.17 , 0.21 , 0.20 , 0.14 , 0.25 , 0.17 , 0.22 , 0.67 , 0.66 , 0.50 , 0.71 , 0.63 , 0.69 ,,,
